Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Sri Lanka,0,0,0,0,0,0,0,0,0,0,0,1.9329408,0.3780441,0.2114112,0.2090165,0.0182115,0.5510706,0.30906,0,0,0,0,0,0,0,0,0,0,3.7981737,6.6643429,10.6846252,15.5931097,22.6995065,33.014619,43.1118081,84.100177,432.4481186,287.8065246,345.139564,393.581391,336.7671322,280.8174551,301.5023302,4.4418905,0,444.0241549,0,1.3148685,7.9100879,0.032627,0.0573404,0.1271988,307.046179,12.8749694,115.1606708,76.8097787,143.9562666,1294.8722,188.7890788,228.4758022,330.4712179,400
Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174,23.053,176.36,248.974,955.976,613.672,899.516,951.773,2062.864,2987.73879,3627.680837,4705.837572,6436.743856,6933.385746,9294.439905,10612.82769,13054.32222,12059.83897,12815.17116,14321.94549,15363.84738,15074.31037,13665.47751,13890.92217,13577.78694,13590.59016,13621.27745,21625.54646,23390.41598,25304.86367,24951.74752,26513.12285,28570.466,29354.52699,30790.93427,36317.5422,37810.37521,39335.29741,40506.77839,41969.08171,43597.37511,45240.15318,47306.14916,47302.18917,47558.36362,52766.79375,52968.26728
Suriname,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,18,34,71,112,118,107,123,141,148,140,150,117,48,14,27,17,17,17,17,0,0,0,688,988
eSwatini (Swaziland),,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0.0697224,0.012,0.1289031,0.044954,0.200252,2.0699736,4.1874205,4.6516551,4.3279007,4.2915716,1.2361045,1.1262338,1.1880059,0.3405594,0.2162831,0.2469798,2.8794138,4.9218835,0.1062889,6.4934155,6.9276176,1.7202671,1.7973957,3.342137,15.025465,15.3765694,11.5934356,11.910132,13.8395751,13.3542772,15.5810384,8.9715069,12.085586,14.2181758,0.0012271,0
Syria,0,0,0,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,92,82,257,309,399,407,432,7790.947,9000.981,9880.505,10869.482,11755.037,11665.733,12099.239,70,0,0,13400,0,0,4021.249,471.05,459.3841263,471.6494587,1061.093714,1669.661549,2094.132451,2388.214556,2679.365717,2993.864988,3196.595265,3369.966873,3609.942073,3853
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.307,78.559,185.078,601.025,154.526,306.863,136.888,167.332,253.517,96.235,34.436,273.201,25.019,102.914,0,0,0,363.788,299.317,18.39,0.7929018,0.5875475,0.1164014,0.1183012,0.7454914,0.1015278,0,42.839,104.052
Tanzania,,0,0,0,0,0,0,0,0,0,0,2.2613378,72.7102737,151.9642078,219.8813363,304.9956316,495.1967032,842.7895631,1359.958169,1413.077674,2060.841149,2322.983529,2622.613655,3172.802929,3538.064548,5334.929558,1412.641733,769.9689279,1189.880683,1174.281489,1696.145684,1670.074353,2647.428001,2089.779738,2179.755125,2538.002789,2553.692274,4385.009674,1964.477515,2088.499605,2970.737514,1483.495522,1340.704564,1502.220354,1697.711527,1566.103114,1457.130339,1071.544381,1283.189855,1362.149709,1411.736971,1525.608683,1490.725379,1343.059278,1248.470453,2691.8692,2986.349754,3855.365925,4354.910117,5193.018696,6395.377229,6025
Thailand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.805,0,0,0,0,0,0,5.691,0,0,0,0,0,0,0,0,0,4.766,8.788,2.159151,4.6466064,1.9064133,0,0,0,0,0,0,0,0,0
Togo,0,0,0,0,0,0,0,0,0,0,0.1470396,2.2378312,1.8845176,2.2869489,0.7857409,0.639569,5.1096824,9.4729418,44.636093,333.3374582,117.7445793,343.041522,196.6798084,338.2312009,70,30.2707159,10.777057,118.4934148,208.6788475,298.9584097,191.9128293,49.7333958,145.4852729,119.426389,196.9974229,561.9466193,120.8260462,147.9653207,52.5279258,69.5303045,126.7974047,157.8140445,249.8541098,352.0098522,481.5050635,476.3578406,572.669269,665.0010753,774,114.6554349,611,758.9082242,40.9221736,9.365631,5.2144754,5.3210386,1.0201261,0.0382724,0.0081724,0.0041485,27.0657499,25
Tonga,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026501,0.0595043,0.3084122,0.673682,1.7960968,2.0174025,2.7028648,2.785764,0.6760864,1.4270337,0.8004294,0.9912644,0.7322632,0.0243912,0.0765099,0.0982149,133.3507191,120.8195876,1.540476,3.7637755,0,119,0,3.041,14
Trinidad & Tobago,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401.5115,655,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia,0,0,0,0,0,0,0,0,0,0,2.83,4.525,4.753,5.338,5.726,5.781,5.223,5.705,6.87,6.711,6.129,4.595,4.061,6.613,3.192,16.919,21.353,5.285,0,6.306,22.092,82.256,13.629,3.204,16.445,0.737,0.191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4984717,2.4197013,0.27,0,0,0,0,0,0
Turkey,0,0,0,0,0,220,0,0,0,0,75,0.52,0,0,0,0,0,0.21,3300.37,4064.45,3033.95,130.34,2925.41,23.54,21.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48280,0,0,0,0,0,0,0,0,0,0,0,13.61,0,0,0,0,0,563,0,0,0,0
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,38.3973197,139.6400041,64.6061536,68.3828707,89.4870951,90.291492,200.8292485,123.7952749,56.3091651,25.948554,29.0914758,22.01,5.061544,5.136,2.434,2.434,0.941,0,0.0039574,0,0,0,0,0,0,0,0,0
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,,,0,0,0,0,0,0,0,0,0.06,0.0663598,0.431907,0.5737238,1.003707,4.3152607,12.8067861,15.7443557,40.0964213,66.7840839,100.606565,74.4718843,56.2168428,39.0372349,47.1064078,60.6541821,89.8159392,351.9923534,143.0735257,318.7154897,369.90683,430.4965387,514.7222171,442.9958013,318.9493327,646.5393158,279.441098,283.4861545,1129.143329,189.9567049,380.1421202,324.9088075,323.9125051,331.8448329,349.7226303,315.8496615,105.7871223,99.7549843,83.7594419,77.0244775,79.1483532,76.9516622,76.9553705,77.2977774,85.0611571,70.1153334,70.0138302,70.1185366,70.4886406,70.4825858,70.5320718,71
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.99,31.511,807.1427185,1257.257999,123.1684136,278.4025538,711.09,4326.96,3921.23,1437.226661,527.0177414,697.180511,473.3494671,349.8981647,435.907167,520.7480771,988.0229767,3301.362658,6012.519,511.834,7768.054,231.539,12498.436,21807,4377,5385.732,5645.032,5795.032,5945.032,6095.032
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328.5,334.35,340.2,560.601,502.645,414.7,523.44,550.555,675.9,705.775,619.2,731.43,723.69,584.37,607.59,607.59,592.11,642.42,646.29,646.29,626.94,580.5,553.41,611.46,677.25,750.78,669.51,758.52,762.39,568.89,626.94,599.85,603.72,626.94,638.55,592.11,561.15,487.62,522.45,491.49,506.97,526.32,518.58
Uruguay,0,0,0,0,0,161.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,575,111,234,1958,0,1770,0,1608,1610,0,0,0,0,0,0,0,0,0,0,0,4977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USSR/Russia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30261.93294,23995.09556,44384.02745,32709.35673,35508,69247,41733.432,77719.585,96152.207,78297.818,12997.925,11294.218,10268.711,7120.109,5214.989,1802.835,644.85,769.8,427.08,6.6,1.84,1.84,0,0,0,0,0,0,0,0,0
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,500.61,6.7,22.8,20.4,19.5,132.3,40.9,47.4,43.2,0,88.13,113.25,80.8,192.125,161.461,1.34,0,0,0.1575609,0.8643342,1.8445184,2.6265868,94.1933709,134.0441136,111
Vanuatu,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,5.584,0,0,0,0,0,0,0,0,5,0,0,0,0.516,4.85,0.627,0.7,0.663,0,0,0,0,0,0,3,3,3,2.8,0,0,0
Venezuela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.9,160.2,51.4,5.8,5.4,14977.9564,16988.80998,18737.854,20329.6,20360.6,20338.8,20288.8,19585,0,618.5,1023.3,1540.1,480.1,546.5,698.7,484.7,183.9,137.9,54.5,56.2,11.7,16.05,2.944,0.407,178.152,6.075,1.473,1490.176043,0.1104085,0.062,0.165,0.556,2.672079,27517.78621,27669.36919,73533.77348,76091.23795,79983.58803,83874.74595
Vietnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516,0,0,467,0,33,1389,1406.8,1604,1593.108025,2720.328852,1976.360884,2132.849625,2147.457843,3131.819506,3755.070398,5829.18888,7729.663772,8483.002832,9414.480883,11511.45959,13422.60113,9543.240738,10379.44905,10285.08309,3092.367348,1534.585896,1439.502354,1445.086831,1406.673698,1423.14036,0,0,0.704,0,18.3721614,17.2715753,12.9721546,11.1732174,30.1187421,29.7682568,39.9920888,41.3619957,39.9158188,39.5597058,40.1425589,40.1425589
West Bank & Gaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,485,387,0,96.886452,87.9822704,264.621609,436.5727296,694.6237332,902.478112,179.994112,621.994112,973.994112,1079.00233,3186.924,3929.596,4736.836
Yemen,,,,,,,,0,0,0,0,0,0,14.9192159,22.5859415,32.7957055,46.1014261,66.0743453,48.8020005,49.4379212,7.6549528,22.3620482,40.9874716,81.0321909,131.7719942,194.8690814,278.4136268,405.0541686,527.5601626,832.7866243,1134.916789,1308.267096,1882.98104,2309.110494,2767.299439,2881.252354,3230.639786,1952.943156,356.3665542,361.3971064,441.204706,1631.045463,414.0162713,432.1667911,401.4492432,352.8120285,243.0539788,258.1708846,272.7024659,282.5769283,390.0076752,313.6581294,334.9702872,355.9309934,371.9819745,397.9591249,629.7284272,1118.075131,1417.465352,1778.908226,2089.7,2313.229329
Yugoslavia,241.31,248.4106,255.5112,262.6118,284.7124,595.413,295.5136,290.8586,15.9,0,0.7,0,0,0,0,0,0,0,0,0,0,0,1.7,951.3,2054,4902.8,1636,958.9,7849.5,6768.66,5689.4,5347.3,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.845432,1.9986176,3.3608195,15.3235604,38.3769745,39.2794867,75.4461442,233.2320325,503.9554645,382.0187915,1484.567541,1771.431404,2410.117627,3077.359142,3803.34999,5014.595642,4025.532585,4224.930772,4245.60947,4257.208121,3048.498319,1100.552358,1012.031729,968.4477576,1100.590088,394.828709,622.6398393,859.7753969,836.3289716,881.669537,2093.860336,578.123,513.8383541,482.6797679,477.063968,428.161036,427.2748618,423.2789105,420.9327957,415.7696473,423.0829382,412.8348475,2631.435901,3039.967111,3115.901125,6627.504625,7244.736
Zimbabwe,,,,,,184.2682705,191.3546251,170.0922683,176.1662865,182.2403047,257.3480799,215.6909679,206.7522057,199.6518317,206.4092593,184.0593818,157.3309026,177.9333472,247.4284744,222.732113,243.8658696,63,0,0,0,0.1218397,0.3874326,11.5914587,0.5743531,1.866,23.7708284,0.0127034,4.1535705,5.1328145,17.1611913,89.4341135,1.3784911,6.4761885,14.5310866,21.8294736,235.9020301,2651.845404,1523.371284,2100.810408,2463.964804,2309.69782,2672.71329,3117.972901,3495.715363,3586.457955,3714.811073,3935.342307,4102.598993,4349.979998,4128.652034,5051.189628,4996.52839,5525,6815,6715,7112,7322
