"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUT","Austria","IRLTLT01","Interest Rates > Long-term government bond yields > 10-year > Main (including benchmark)","ST","Level, rate or national currency","A","Annual","1998","1998","PC","Percentage","0","Units",,,4.7135,,
"AUT","Austria","IRLTLT01","Interest Rates > Long-term government bond yields > 10-year > Main (including benchmark)","ST","Level, rate or national currency","A","Annual","1999","1999","PC","Percentage","0","Units",,,4.6809,,
"AUT","Austria","IRLTLT01","Interest Rates > Long-term government bond yields > 10-year > Main (including benchmark)","ST","Level, rate or national currency","A","Annual","2000","2000","PC","Percentage","0","Units",,,5.5554,,
"AUT","Austria","IRLTLT01","Interest Rates > Long-term government bond yields > 10-year > Main (including benchmark)","ST","Level, rate or national currency","A","Annual","2001","2001","PC","Percentage","0","Units",,,5.08016666666667,,
"AUT","Austria","IRLTLT01","Interest Rates > Long-term government bond yields > 10-year > Main (including benchmark)","ST","Level, rate or national currency","A","Annual","2002","2002","PC","Percentage","0","Units",,,4.9638,,
"AUT","Austria","IRLTLT01","Interest Rates > Long-term government bond yields > 10-year > Main (including benchmark)","ST","Level, rate or national currency","A","Annual","2003","2003","PC","Percentage","0","Units",,,4.14086666666667,,
"AUT","Austria","IRLTLT01","Interest Rates > Long-term government bond yields > 10-year > Main (including benchmark)","ST","Level, rate or national currency","A","Annual","2004","2004","PC","Percentage","0","Units",,,4.13089166666667,,
"AUT","Austria","IRLTLT01","Interest Rates > Long-term government bond yields > 10-year > Main (including benchmark)","ST","Level, rate or national currency","A","Annual","2005","2005","PC","Percentage","0","Units",,,3.39373333333333,,
"AUT","Austria","IRLTLT01","Interest Rates > Long-term government bond yields > 10-year > Main (including benchmark)","ST","Level, rate or national currency","A","Annual","2006","2006","PC","Percentage","0","Units",,,3.80084166666667,,
"AUT","Austria","IRLTLT01","Interest Rates > Long-term government bond yields > 10-year > Main (including benchmark)","ST","Level, rate or national currency","A","Annual","2007","2007","PC","Percentage","0","Units",,,4.29708333333333,,
"AUT","Austria","IRLTLT01","Interest Rates > Long-term government bond yields > 10-year > Main (including benchmark)","ST","Level, rate or national currency","A","Annual","2008","2008","PC","Percentage","0","Units",,,4.358525,,
"AUT","Austria","IRLTLT01","Interest Rates > Long-term government bond yields > 10-year > Main (including benchmark)","ST","Level, rate or national currency","A","Annual","2009","2009","PC","Percentage","0","Units",,,3.93763333333333,,
"AUT","Austria","IRLTLT01","Interest Rates > Long-term government bond yields > 10-year > Main (including benchmark)","ST","Level, rate or national currency","A","Annual","2010","2010","PC","Percentage","0","Units",,,3.22638333333333,,
"AUT","Austria","IRLTLT01","Interest Rates > Long-term government bond yields > 10-year > Main (including benchmark)","ST","Level, rate or national currency","A","Annual","2011","2011","PC","Percentage","0","Units",,,3.31965833333333,,
"AUT","Austria","IRLTLT01","Interest Rates > Long-term government bond yields > 10-year > Main (including benchmark)","ST","Level, rate or national currency","A","Annual","2012","2012","PC","Percentage","0","Units",,,2.371175,,
"AUT","Austria","IRLTLT01","Interest Rates > Long-term government bond yields > 10-year > Main (including benchmark)","ST","Level, rate or national currency","A","Annual","2013","2013","PC","Percentage","0","Units",,,2.01075833333333,,
"AUT","Austria","IRLTLT01","Interest Rates > Long-term government bond yields > 10-year > Main (including benchmark)","ST","Level, rate or national currency","A","Annual","2014","2014","PC","Percentage","0","Units",,,1.48729166666667,,
"AUT","Austria","IRLTLT01","Interest Rates > Long-term government bond yields > 10-year > Main (including benchmark)","ST","Level, rate or national currency","A","Annual","2015","2015","PC","Percentage","0","Units",,,0.747041666666667,,
"AUT","Austria","IRLTLT01","Interest Rates > Long-term government bond yields > 10-year > Main (including benchmark)","ST","Level, rate or national currency","A","Annual","2016","2016","PC","Percentage","0","Units",,,0.375383333333333,,
"AUT","Austria","IRLTLT01","Interest Rates > Long-term government bond yields > 10-year > Main (including benchmark)","ST","Level, rate or national currency","A","Annual","2017","2017","PC","Percentage","0","Units",,,0.583283333333333,,
"AUT","Austria","IRLTLT01","Interest Rates > Long-term government bond yields > 10-year > Main (including benchmark)","ST","Level, rate or national currency","A","Annual","2018","2018","PC","Percentage","0","Units",,,0.686158333333333,,
"AUT","Austria","IRLTLT01","Interest Rates > Long-term government bond yields > 10-year > Main (including benchmark)","ST","Level, rate or national currency","A","Annual","2019","2019","PC","Percentage","0","Units",,,0.0629333333333334,,
