"Real long term government bond yield, percent",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.300951029,8.639293476,1.80836217,12.17179713,8.223747948,6.874500841,9.47715377,16.1416014,9.842160552,10.2654867,9.170256253,4.684957902
Luxembourg,,,,,,,,,,,,,,,,,,-0.122161019,3.542010437,2.229318853,1.201763303,0.604547828,1.144619132,1.161572186,3.787476774,5.417246598,8.305,8.0675,5.780833333,4.299166667,4.8225,5.055833333,4.713333333,3.238333333,4.95,5.329166667,5.165686395,4.22617591,3.754674082,3.643226856,1.736175784,2.454859739,2.646969479,0.787698922,-0.400127109,-1.3463818,0.34084377,1.805833183,0.515398458,4.221671468,0.372000529,-0.805922,-1.132828028,0.153176436,0.641411698,0.308293258,0.212497833,-1.585023213,-1.483818732,-1.137252965,0.47565505
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7216323,2.802981381,1.426901388,3.03666502,2.91146556,4.21990964,2.363909627,2.896255438,3.555873215,2.109393939,1.674736757,2.524105985,2.667682347,0.528732824,0.385859498,1.545137503,-1.700046816,2.992605344,1.79843188,0.273612412,1.588595642,1.319487688,0.549426158,1.566943531,1.377457727,-0.158642097,2.776302813,2.768941468,3.559202154
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.279998236,1.446793338,1.897490596,-0.417473417,2.533373411,2.179970264,3.769774247
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.792242304,5.094278074,4.434766972,4.849928823,5.429433019,4.758867533,3.826480873,3.187518995,2.66639451,2.933271621,3.2604,1.486824612,1.871110603,1.995545647,3.270609411,3.372042595,1.206878657,3.030646862,4.03237173,2.852742075
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.24716756,22.08590147,,,,,5.493920802,4.233223149,-5.479183724,-3.251922441,2.339499826,6.646536073,18.10271859,0.419482472,4.72191567,2.610332394,1.590454324,2.527881092,10.61959307,11.10735768,0.79060336,2.869112643,1.498883195,2.011528755
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.628573364,0.803519198,9.69506714,15.5970611,9.541902258,,,
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.661801044,6.156886699,6.45104739,5.092865431,6.502698124,4.154380334,4.992266321,4.174055969,4.368188336,0.755238336,1.611244867,,,3.342002602,3.4526551,3.284547633,3.811845287,4.665309928,2.456262902,1.858858834,3.074506804,1.89596323,3.082364013,2.172931297
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.72805393,3.728833107,2.692118589,1.465356928,-2.031726515,0.805080124,0.854404819,-1.221997773,-0.100925023,0.151583757,2.104263719,-1.227102189,-0.647271906,2.206360089,1.778968677,3.290786187
Netherlands,1.936059952,2.802360058,2.063960075,1.106819987,-1.090880036,-0.744898021,-0.096871004,2.013210058,2.324389935,-0.578251004,4.540060043,-0.127578005,-0.911750972,-0.293518007,0.220632002,-1.422729969,-0.107486002,1.62590003,3.659980059,4.569550037,3.668499947,4.801529884,4.237929821,5.786980152,5.056509972,5.116069794,6.249979973,7.087800026,5.543610096,6.137839794,6.475910187,5.606669903,4.917250156,3.922489882,4.395969868,5.271780014,4.476630211,3.717829943,2.855000019,2.595170021,3.057984649,-0.156225315,1.036998027,1.896521717,2.709299993,1.883679886,2.129148049,2.699182594,2.014100777,2.715112087,2.062356385,0.518432508,-0.886602901,-0.594242273,1.135012818,0.469666867,0.181242611,-0.767322581,-1.147629957,-3.204171891,-1.485862113
